system_name,period_days
TOI-1806,15.1454693
Kepler-221,10.04156
Kepler-204,25.660593
HIP 65407,67.3
TOI-201,2800.0
Kepler-221,18.369917
Kepler-258,33.653079
Kepler-1266,28.474748
HIP 81208 C,104100.0
HD 216520,154.43
HD 206893,9350.0
Kepler-333,24.08821
Kepler-1751,7.017310143
Kepler-191,5.945041017
Kepler-1881,159.3939972
Kepler-293,54.155743
Kepler-136,16.399235
Kepler-203,3.162697
HD 143105,2.1974
WASP-91,2.798581
Kepler-791,14.5539759
Kepler-403,54.280749
HD 170469,1145.0
TOI-4914,10.60057
Kepler-347,12.79836
Kepler-704,3.76182115
HD 104067,13.8992
Kepler-871,22.0459018
Kepler-1992,15.6112238
Kepler-237,8.103636
Kepler-1830,56.49330139
K2-270,4.400028
Kepler-550,8.600104109
Kepler-604,25.85501786
LHS 1678,3.694284
K2-18,32.939623
Kepler-1278,3.23941344
Kepler-1142,18.3027248
Kepler-327,5.212333
WASP-60,4.305
GJ 1252,0.5182331
Kepler-113,4.754
Kepler-1605,85.7565495
Kepler-1060,46.8779367
HD 10180,5.75969
HD 3167,8.4112
Kepler-349,5.929778
Kepler-722,4.093573252
Kepler-1912,6.059219837
Kepler-1717,30.65279961
Kepler-735,11.51516988
HD 25463,7.0491423
Kepler-446,5.148921
K2-352,3.665912
Kepler-859,20.38177573
Kepler-1129,76.5369586
GJ 251,14.238
Kepler-1067,0.762129261
Kepler-1356,0.634002937
Kepler-889,3.744439
Kepler-1905,3.42392993
HD 39855,3.2498
Kepler-198,49.567416
Barnard's star,3.1542
GJ 3082,11.949
GJ 896 A,284.39
Kepler-1792,4.1957798
TOI-201,52.977946
NGTS-5,3.3569866
Kepler-127,48.630408
Kepler-83,9.77
Kepler-2000,6.383159135
K2-133,4.86784
Kepler-275,16.088134
K2-158,5.90279
Kepler-1594,2.71603809
Kepler-1379,0.881841146
Kepler-1718,135.1880035
Kepler-153,18.870227
Kepler-122,5.766193
Kepler-359,57.68802
Kepler-235,7.824904
K2-354,3.793306
WASP-138,3.634433
Kepler-1129,24.3397804
K2-71,6.98541
Kepler-1049,3.273460736
TOI-6695,242.4
HD 192310,74.72
K2-166,8.52695
Kepler-1612,3.91795101
Kepler-1054,4.30655689
Kepler-157,13.5405
Kepler-256,5.839172
K2-251,9.30075
TIC 279401253,155.3
Kepler-1263,4.55139967
HD 155193,352.65
HIP 67522,14.334892
Kepler-555,16.21775407
Kepler-302,127.282184
Kepler-354,24.209842
Kepler-1342,2.215710358
HD 18015,2278.0
Kepler-297,74.920137
Kepler-164,28.986769
tau Cet,49.41
Kepler-201,25.672083
EPIC 212737443,65.55
Kepler-178,96.678988
Kepler-199,67.093408
Kepler-990,0.538354308
Kepler-272,10.937304
Kepler-814,6.1469851
Kepler-1802,33.13610077
Kepler-1175,37.94563
Kepler-898,5.8706191
K2-95,10.1346454
Kepler-53,9.751962
Kepler-409,68.9583216
